gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09987,1.9597,2.8471,1.2842,2.2169,0.02663,0.0418,emopamil binding protein
1104|09989,3.4021,-0.7454,2.8641,-0.2603,0.7947,0.8413,---NA---
1104|09991,1.7607,1.1104,1.4746,0.753,0.4514,0.5255,---NA---
1104|09993,18.1225,-1.8082,0.4916,-3.6783,0.0002348,0.0004936,c6 zinc finger domain protein
1104|09995,1.2611,3.6873,2.1442,1.7197,0.08549,0.1213,hypothetical protein CGGC5_6583
1104|09996,4.6038,-3.923,0.7159,-5.4794,4.267e-08,1.272e-07,hypothetical protein CGLO_16912
1104|09997,8.8712,2.1362,0.7734,2.7621,0.005743,0.01011,hypothetical protein CGGC5_6577
1104|09998,10.1227,0.5322,0.5043,1.0552,0.2913,0.3592,garp complex component
1104|09999,17.9596,1.4785,0.3029,4.8812,1.054e-06,2.801e-06,protein disulfide-isomerase erp38
1104|10000,7.404,1.533,0.7439,2.0608,0.03933,0.06002,alkaline protease
1104|10001,160.8026,-1.5136,0.1891,-8.005,1.194e-15,5.552e-15,elongation factor tu
1104|10003,4.9393,-4.6244,1.511,-3.0605,0.00221,0.004127,hypothetical protein CGGC5_6578
1104|10004,34.6988,1.0165,0.3556,2.8582,0.004261,0.007643,fmn-dependent dehydrogenase
1104|10005,88.2223,-1.7102,0.1624,-10.5323,6.134e-26,4.285e-25,atp-dependent metallopeptidase
1104|10006,77.7003,6.4519,0.737,8.7545,2.049e-18,1.085e-17,hypothetical protein FGSG_13479
1104|10007,71.7929,0.0819,0.4138,0.1979,0.8431,0.8786,riboflavin aldehyde-forming enzyme
1104|10008,14.1063,-1.3193,1.3537,-0.9746,0.3298,0.4005,dnase1 protein
1104|10009,3.1949,-0.2048,0.7016,-0.2918,0.7704,0.8253,anion exchange protein 4 protein
1104|10010,4.2468,-4.4236,0.8961,-4.9365,7.954e-07,2.138e-06,rox3 mediator complex subunit
1104|10011,63.0604,0.2164,2.4089,0.0898,0.9284,0.9476,hypothetical protein CGLO_06052
