sample,mate,cycle,mean_q,q25,median_q,q75,n_reads
APP2,1,84,39.978,42.0,42.0,42.0,100000
APP2,1,85,40.049,42.0,42.0,42.0,100000
APP2,1,86,40.124,42.0,42.0,42.0,100000
APP2,1,87,39.966,42.0,42.0,42.0,100000
APP2,1,88,40.076,42.0,42.0,42.0,100000
APP2,1,89,40.025,42.0,42.0,42.0,100000
APP2,1,90,40.022,42.0,42.0,42.0,100000
APP2,1,91,40.126,42.0,42.0,42.0,100000
APP2,1,92,39.924,42.0,42.0,42.0,100000
APP2,1,93,39.941,42.0,42.0,42.0,100000
APP2,1,94,39.968,42.0,42.0,42.0,100000
APP2,1,95,40.014,42.0,42.0,42.0,100000
APP2,1,96,40.021,42.0,42.0,42.0,100000
APP2,1,97,39.75,42.0,42.0,42.0,100000
APP2,1,98,39.688,42.0,42.0,42.0,100000
APP2,1,99,39.805,42.0,42.0,42.0,100000
APP2,1,100,39.637,42.0,42.0,42.0,100000
APP2,1,101,39.734,42.0,42.0,42.0,100000
APP2,1,102,39.644,42.0,42.0,42.0,100000
APP2,1,103,39.767,42.0,42.0,42.0,100000
APP2,1,104,39.742,42.0,42.0,42.0,100000
APP2,1,105,39.633,42.0,42.0,42.0,100000
APP2,1,106,39.685,42.0,42.0,42.0,100000
APP2,1,107,39.808,42.0,42.0,42.0,100000
APP2,1,108,39.714,42.0,42.0,42.0,100000
APP2,1,109,39.671,42.0,42.0,42.0,100000
APP2,1,110,39.727,42.0,42.0,42.0,100000
APP2,1,111,39.716,42.0,42.0,42.0,100000
APP2,1,112,39.624,42.0,42.0,42.0,100000
APP2,1,113,39.517,42.0,42.0,42.0,100000
APP2,1,114,39.537,42.0,42.0,42.0,100000
APP2,1,115,39.613,42.0,42.0,42.0,100000
APP2,1,116,39.651,42.0,42.0,42.0,100000
APP2,1,117,39.697,42.0,42.0,42.0,100000
APP2,1,118,39.545,42.0,42.0,42.0,100000
APP2,1,119,39.509,42.0,42.0,42.0,100000
APP2,1,120,39.533,42.0,42.0,42.0,100000
APP2,1,121,39.609,42.0,42.0,42.0,100000
APP2,1,122,39.585,42.0,42.0,42.0,100000
APP2,1,123,39.584,42.0,42.0,42.0,100000
APP2,1,124,39.278,42.0,42.0,42.0,100000
APP2,1,125,39.338,42.0,42.0,42.0,100000
APP2,1,126,39.318,42.0,42.0,42.0,100000
APP2,1,127,39.198,42.0,42.0,42.0,100000
APP2,1,128,39.21,42.0,42.0,42.0,100000
APP2,1,129,39.128,42.0,42.0,42.0,100000
APP2,1,130,39.214,42.0,42.0,42.0,100000
APP2,1,131,39.153,42.0,42.0,42.0,100000
APP2,1,132,39.271,42.0,42.0,42.0,100000
APP2,1,133,39.315,42.0,42.0,42.0,100000
APP2,1,134,39.217,42.0,42.0,42.0,100000
APP2,1,135,39.091,37.0,42.0,42.0,100000
APP2,1,136,39.18,42.0,42.0,42.0,100000
APP2,1,137,39.152,42.0,42.0,42.0,100000
APP2,1,138,38.949,37.0,42.0,42.0,100000
APP2,1,139,39.058,37.0,42.0,42.0,100000
APP2,1,140,38.9,37.0,42.0,42.0,100000
APP2,1,141,38.835,37.0,42.0,42.0,100000
APP2,1,142,38.837,37.0,42.0,42.0,100000
APP2,1,143,38.784,37.0,42.0,42.0,100000
APP2,1,144,38.771,37.0,42.0,42.0,100000
APP2,1,145,38.672,37.0,42.0,42.0,100000
APP2,1,146,38.523,37.0,42.0,42.0,100000
APP2,1,147,38.539,37.0,42.0,42.0,100000
APP2,1,148,38.28,37.0,42.0,42.0,100000
APP2,1,149,38.133,37.0,42.0,42.0,100000
APP2,1,150,38.164,37.0,42.0,42.0,100000
APP2,2,1,30.473,32.0,32.0,32.0,100000
APP2,2,2,31.049,32.0,32.0,32.0,100000
APP2,2,3,35.004,37.0,37.0,37.0,100000
APP2,2,4,35.527,37.0,37.0,37.0,100000
APP2,2,5,35.759,37.0,37.0,37.0,100000
APP2,2,6,39.272,37.0,42.0,42.0,100000
APP2,2,7,39.777,42.0,42.0,42.0,100000
APP2,2,8,39.946,42.0,42.0,42.0,100000
APP2,2,9,40.001,42.0,42.0,42.0,100000
APP2,2,10,39.93,42.0,42.0,42.0,100000
APP2,2,11,39.995,42.0,42.0,42.0,100000
APP2,2,12,40.085,42.0,42.0,42.0,100000
APP2,2,13,40.06,42.0,42.0,42.0,100000
APP2,2,14,39.946,42.0,42.0,42.0,100000
APP2,2,15,40.013,42.0,42.0,42.0,100000
APP2,2,16,40.013,42.0,42.0,42.0,100000
APP2,2,17,39.97,42.0,42.0,42.0,100000
APP2,2,18,39.934,42.0,42.0,42.0,100000
APP2,2,19,39.857,42.0,42.0,42.0,100000
APP2,2,20,39.998,42.0,42.0,42.0,100000
APP2,2,21,39.91,42.0,42.0,42.0,100000
APP2,2,22,39.976,42.0,42.0,42.0,100000
APP2,2,23,39.914,42.0,42.0,42.0,100000
APP2,2,24,39.907,42.0,42.0,42.0,100000
APP2,2,25,39.939,42.0,42.0,42.0,100000
APP2,2,26,40.02,42.0,42.0,42.0,100000
APP2,2,27,39.997,42.0,42.0,42.0,100000
APP2,2,28,39.717,42.0,42.0,42.0,100000
APP2,2,29,39.92,42.0,42.0,42.0,100000
APP2,2,30,39.813,42.0,42.0,42.0,100000
APP2,2,31,39.786,42.0,42.0,42.0,100000
APP2,2,32,39.848,42.0,42.0,42.0,100000
APP2,2,33,39.88,42.0,42.0,42.0,100000
APP2,2,34,39.869,42.0,42.0,42.0,100000
APP2,2,35,39.9,42.0,42.0,42.0,100000
APP2,2,36,39.887,42.0,42.0,42.0,100000
APP2,2,37,39.794,42.0,42.0,42.0,100000
APP2,2,38,39.787,42.0,42.0,42.0,100000
APP2,2,39,39.789,42.0,42.0,42.0,100000
APP2,2,40,39.827,42.0,42.0,42.0,100000
APP2,2,41,39.7,42.0,42.0,42.0,100000
APP2,2,42,39.74,42.0,42.0,42.0,100000
APP2,2,43,39.772,42.0,42.0,42.0,100000
APP2,2,44,39.595,42.0,42.0,42.0,100000
APP2,2,45,39.637,42.0,42.0,42.0,100000
APP2,2,46,39.708,42.0,42.0,42.0,100000
APP2,2,47,39.622,42.0,42.0,42.0,100000
APP2,2,48,39.574,42.0,42.0,42.0,100000
APP2,2,49,39.657,42.0,42.0,42.0,100000
APP2,2,50,39.715,42.0,42.0,42.0,100000
APP2,2,51,39.675,42.0,42.0,42.0,100000
APP2,2,52,39.619,42.0,42.0,42.0,100000
APP2,2,53,39.373,42.0,42.0,42.0,100000
APP2,2,54,39.284,42.0,42.0,42.0,100000
APP2,2,55,39.378,42.0,42.0,42.0,100000
APP2,2,56,39.395,42.0,42.0,42.0,100000
APP2,2,57,39.383,42.0,42.0,42.0,100000
APP2,2,58,39.444,42.0,42.0,42.0,100000
APP2,2,59,39.32,42.0,42.0,42.0,100000
APP2,2,60,39.326,42.0,42.0,42.0,100000
APP2,2,61,39.403,42.0,42.0,42.0,100000
