gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|11281,137,163,209,377,358,386,299,339,384,7,22,13
1104|11282,526,668,753,130,110,109,151,173,327,137,205,69
1104|11283,324,408,495,3490,3860,3555,3361,3432,3856,79,232,78
1104|11284,0,0,0,1,2,1,0,0,0,0,0,0
1104|11285,1,0,0,0,1,0,0,0,2,0,0,0
1104|11286,97,108,132,136,127,155,141,126,140,0,11,5
1104|11287,12,5,9,715,988,1013,388,416,423,7,28,6
1104|11288,6,16,6,344,469,556,248,307,227,5,9,4
1104|11289,3085,3817,4837,2985,3079,3256,836,925,866,69,229,85
1104|11290,216,278,306,297,412,452,237,403,294,16,11,15
1104|11291,45,50,80,123,147,170,117,152,136,3,11,4
1104|11292,12,19,5,73,118,89,277,343,275,6,9,8
1104|11293,5691,6740,7967,2532,3406,3462,25,14,9,24,171,83
1104|11294,157,204,208,281,231,240,123,144,144,16,20,8
1104|11295,168,195,258,134,240,211,95,111,80,5,13,7
1104|11296,0,0,0,0,0,0,0,0,0,1,0,0
1104|11297,0,0,0,0,0,0,0,1,1,0,0,0
1104|11298,5342,6688,7159,168,179,227,21,22,22,28,37,25
1104|11299,52,46,62,155,175,183,144,243,208,3,20,8
1104|11300,11,12,12,71,69,63,61,61,79,0,7,4
1104|11301,714,885,947,41,39,50,7,2,6,4,6,0
1104|11302,11,15,24,13,30,31,2,7,7,1,1,2
1104|11303,7,10,5,0,3,3,3,0,0,0,0,1
1104|11304,0,0,1,1,1,0,1,2,1,2,0,0
1104|11305,6,3,3,0,1,0,1,0,0,0,0,0
1104|11306,4,0,1,0,2,1,0,0,1,0,0,0
1104|11307,152,202,242,113,206,231,81,155,83,5,27,14
1104|11308,204,286,299,71,90,90,52,47,72,11,21,16
1104|11309,56,75,85,142,152,172,112,100,142,6,9,8
1104|11310,176,208,321,438,575,557,406,479,381,12,35,17
1104|11311,12,8,9,33,35,39,17,12,19,2,4,0
1104|11312,14,19,22,3,9,4,4,3,7,3,6,6
1104|11313,200,270,322,4,2,8,4,3,7,2,5,4
1104|11314,195,227,280,196,235,246,395,488,455,14,36,20
1104|11315,2,5,9,8,1,5,0,0,0,0,0,0
1104|11316,11,19,25,40,57,31,48,42,66,3,6,2
1104|11317,31,39,38,2,1,5,28,56,110,0,0,1
1104|11318,634,705,812,91,133,110,352,471,589,54,93,58
1104|11319,349,452,487,679,627,687,481,528,535,19,62,18
1104|11320,834,927,1010,38,38,45,83,124,262,2,6,1
1104|11321,60,70,85,381,528,507,50,94,76,10,22,7
1104|11322,2250,2490,2916,2,10,13,6,7,7,2,6,2
1104|11323,151,152,207,92,114,146,71,73,86,4,12,3
1104|11324,247,290,373,189,234,251,96,114,123,2,12,12
1104|11325,324,403,532,858,1136,828,730,733,565,57,139,39
1104|11326,352,493,559,287,399,386,368,405,349,12,30,13
1104|11327,0,0,1,0,0,0,0,0,0,0,0,1
1104|11328,4,5,11,1,2,2,5,15,14,0,0,0
1104|11329,73,63,66,22,29,31,51,93,267,0,1,3
1104|11330,13,16,15,61,57,67,47,79,76,2,6,0
1104|11331,1,1,5,4,1,9,0,0,2,1,1,0
1104|11332,0,0,0,0,2,3,0,0,0,0,0,0
1104|11333,6,7,7,21,35,23,5,8,20,1,1,1
1104|11334,260,349,405,168,180,182,79,95,108,20,80,29
1104|11335,36,41,51,788,1032,1192,775,963,567,18,56,30
1104|11336,2,1,7,9,9,5,3,1,18,5,16,6
1104|11337,20,22,19,18,25,16,72,88,84,1,4,3
1104|11338,148,164,253,109,95,116,81,82,89,2,8,12
1104|11339,2698,3227,3855,171,189,195,520,627,842,6,18,6
1104|11340,0,0,0,2,1,0,0,0,1,0,0,0
1104|11341,164,161,195,253,306,362,114,159,146,8,35,18
1104|11342,7,10,12,132,146,175,57,74,81,0,7,2
1104|11343,242,286,355,522,535,482,533,486,1121,9,24,18
1104|11344,2,0,2,13,18,18,7,3,5,1,54,2
1104|11345,414,491,585,715,1061,1011,339,433,355,79,188,130
1104|11346,1,2,0,7,13,4,1,2,0,1,1,5
1104|11347,5,21,23,42,38,49,15,21,34,0,4,3
1104|11348,6,6,11,21,10,24,5,3,7,4,12,5
1104|11349,11,5,12,45,45,58,50,36,56,6,9,4
1104|11350,65,89,91,184,160,196,95,118,151,0,16,5
1104|11351,0,0,2,0,1,0,0,3,5,0,0,0
1104|11352,12,9,16,8,18,15,3,12,10,1,6,1
1104|11353,4,3,2,2,3,1,0,0,0,0,0,1
1104|11354,33,37,47,54,66,69,77,113,210,4,2,0
1104|11355,4,5,6,25,38,45,14,29,24,1,3,2
1104|11356,0,2,2,3,5,6,0,0,0,0,0,0
1104|11357,5,4,2,5,1,3,29,38,16,0,0,0
1104|11358,121,166,156,559,666,586,290,292,326,17,25,17
1104|11359,19,26,27,360,390,402,804,860,919,17,47,24
1104|11360,19,24,44,51,70,60,56,72,59,1,6,4
1104|11361,2,3,0,0,0,0,0,0,0,0,0,0
1104|11362,129,147,152,377,311,376,171,176,256,17,30,17
1104|11363,0,0,0,0,0,0,0,0,0,0,0,0
1104|11364,248,342,364,28,20,22,19,19,33,5,11,7
1104|11365,14,26,18,13,7,8,1,0,3,4,2,0
1104|11366,892,1056,1181,321,461,582,66,50,59,30,84,46
1104|11367,2,4,3,112,135,139,59,92,98,7,10,10
1104|11368,5,5,2,2,6,9,0,0,0,1,1,0
1104|11369,140,178,231,162,237,224,72,127,102,5,16,12
1104|11370,2529,2718,3657,762,768,815,5,6,7,21,68,49
1104|11371,708,851,1050,12,10,4,1,1,3,29,60,43
1104|11372,220,228,284,121,140,148,150,151,202,8,22,14
1104|11373,165,250,290,97,106,75,118,144,99,4,10,11
1104|11374,411,535,729,335,294,343,311,340,289,17,46,24
1104|11375,0,1,1,22,25,19,19,20,17,2,0,1
1104|11376,59,70,77,73,79,89,35,39,42,1,11,10
1104|11377,36,65,64,5,11,9,6,7,3,2,2,0
1104|11378,73,90,77,183,164,168,117,133,219,12,12,9
1104|11379,2,1,2,1,1,0,0,0,0,0,0,0
1104|11380,8,12,20,0,0,2,0,1,0,1,2,0
1104|11381,7,7,15,4,11,27,9,8,14,1,0,4
1104|11382,1280,1489,1942,211,252,255,150,170,205,11,28,24
1104|11383,9,19,28,525,718,632,838,964,800,5,38,26
1104|11384,1362,1554,1884,174,270,253,122,141,91,49,99,66
1104|11385,8,18,4,35,53,62,86,65,153,2,1,0
1104|11386,362,409,494,143,188,127,241,276,361,35,75,54
1104|11387,3314,3719,4551,144,180,224,148,204,194,5,17,7
1104|11388,6,8,8,60,75,57,91,127,166,8,14,4
1104|11389,3364,4278,5636,4831,5165,5461,2616,2656,2602,185,517,381
1104|11390,186,209,245,47,47,51,99,100,228,1,12,0
