term_id,term_name,gene
FS002,ABC transporter,1104|14859
FS002,ABC transporter,1104|14935
FS002,ABC transporter,1104|15511
FS002,ABC transporter,1104|16315
FS002,ABC transporter,1104|16343
FS002,ABC transporter,1104|16359
FS002,ABC transporter,1104|16370
FS002,ABC transporter,1104|16371
FS002,ABC transporter,1104|16372
FS002,ABC transporter,1104|16666
FS002,ABC transporter,1104|16676
FS002,ABC transporter,1104|17163
FS002,ABC transporter,1104|17513
FS002,ABC transporter,1104|17649
FS003,Amino acid / peptide transport,1104|00098
FS003,Amino acid / peptide transport,1104|00521
FS003,Amino acid / peptide transport,1104|00948
FS003,Amino acid / peptide transport,1104|01210
FS003,Amino acid / peptide transport,1104|01393
FS003,Amino acid / peptide transport,1104|01436
FS003,Amino acid / peptide transport,1104|01556
FS003,Amino acid / peptide transport,1104|01653
FS003,Amino acid / peptide transport,1104|01804
FS003,Amino acid / peptide transport,1104|01838
FS003,Amino acid / peptide transport,1104|01841
FS003,Amino acid / peptide transport,1104|02114
FS003,Amino acid / peptide transport,1104|02261
FS003,Amino acid / peptide transport,1104|02262
FS003,Amino acid / peptide transport,1104|02484
FS003,Amino acid / peptide transport,1104|02746
FS003,Amino acid / peptide transport,1104|02785
FS003,Amino acid / peptide transport,1104|03025
FS003,Amino acid / peptide transport,1104|03296
FS003,Amino acid / peptide transport,1104|03469
FS003,Amino acid / peptide transport,1104|03651
FS003,Amino acid / peptide transport,1104|04028
FS003,Amino acid / peptide transport,1104|04033
FS003,Amino acid / peptide transport,1104|04197
FS003,Amino acid / peptide transport,1104|04287
FS003,Amino acid / peptide transport,1104|04469
FS003,Amino acid / peptide transport,1104|04788
FS003,Amino acid / peptide transport,1104|04915
FS003,Amino acid / peptide transport,1104|04954
FS003,Amino acid / peptide transport,1104|04958
FS003,Amino acid / peptide transport,1104|05026
FS003,Amino acid / peptide transport,1104|05063
FS003,Amino acid / peptide transport,1104|05095
FS003,Amino acid / peptide transport,1104|05186
FS003,Amino acid / peptide transport,1104|05282
FS003,Amino acid / peptide transport,1104|05448
FS003,Amino acid / peptide transport,1104|05522
FS003,Amino acid / peptide transport,1104|05535
FS003,Amino acid / peptide transport,1104|05536
FS003,Amino acid / peptide transport,1104|06038
FS003,Amino acid / peptide transport,1104|06338
FS003,Amino acid / peptide transport,1104|06864
FS003,Amino acid / peptide transport,1104|06932
FS003,Amino acid / peptide transport,1104|07099
FS003,Amino acid / peptide transport,1104|07227
FS003,Amino acid / peptide transport,1104|07231
FS003,Amino acid / peptide transport,1104|07235
FS003,Amino acid / peptide transport,1104|07431
FS003,Amino acid / peptide transport,1104|07531
FS003,Amino acid / peptide transport,1104|07559
FS003,Amino acid / peptide transport,1104|07582
FS003,Amino acid / peptide transport,1104|07616
FS003,Amino acid / peptide transport,1104|07620
FS003,Amino acid / peptide transport,1104|07630
FS003,Amino acid / peptide transport,1104|07891
FS003,Amino acid / peptide transport,1104|07999
FS003,Amino acid / peptide transport,1104|08220
FS003,Amino acid / peptide transport,1104|08476
FS003,Amino acid / peptide transport,1104|08740
FS003,Amino acid / peptide transport,1104|09161
FS003,Amino acid / peptide transport,1104|09209
FS003,Amino acid / peptide transport,1104|09780
FS003,Amino acid / peptide transport,1104|09869
FS003,Amino acid / peptide transport,1104|09892
FS003,Amino acid / peptide transport,1104|10149
FS003,Amino acid / peptide transport,1104|10165
FS003,Amino acid / peptide transport,1104|10167
FS003,Amino acid / peptide transport,1104|10361
FS003,Amino acid / peptide transport,1104|10404
FS003,Amino acid / peptide transport,1104|10809
FS003,Amino acid / peptide transport,1104|10959
FS003,Amino acid / peptide transport,1104|11071
FS003,Amino acid / peptide transport,1104|11117
FS003,Amino acid / peptide transport,1104|11242
FS003,Amino acid / peptide transport,1104|11318
FS003,Amino acid / peptide transport,1104|11669
FS003,Amino acid / peptide transport,1104|11703
FS003,Amino acid / peptide transport,1104|11849
FS003,Amino acid / peptide transport,1104|11894
FS003,Amino acid / peptide transport,1104|12264
FS003,Amino acid / peptide transport,1104|12441
FS003,Amino acid / peptide transport,1104|12752
FS003,Amino acid / peptide transport,1104|12977
FS003,Amino acid / peptide transport,1104|12987
FS003,Amino acid / peptide transport,1104|13064
FS003,Amino acid / peptide transport,1104|13069
